routine,thread,avgPercent,avgTime,minTime,maxTime,stddev,avgTimeTotal,minTimeTotal,maxTimeTotal,numCalls,cumulative,imbalance
CLOUDSC,6,7.7039393939,34.8593813131,31.949,38.565,1.1636696728,34.8750252525,31.964,38.579,3969240,38.565,17.1554518346
CUMASTRN,6,3.1158333333,14.0993787879,10.064,16.532,1.274939138,38.4885328283,31.341,43.191,3969240,135.076,39.1241229131
CPDYDDH,6,3.0972222222,14.0137045455,13.24,15.06,0.3385063783,14.0335656566,13.257,15.081,3969240,83.473,12.0849933599
LAITRI,6,3.1039393939,14.0452929293,13.002,15.681,0.5793774005,14.0660656566,13.023,15.703,23815440,83.473,17.0843696193
CPG,6,2.6557070707,12.0162626263,11.147,12.9,0.2816421227,68.5316161616,66.508,69.745,3969240,129.224,13.5891472868
LAITLI,6,2.6068939394,11.7961994949,10.925,12.756,0.3501736829,11.8766085859,11.006,12.834,103200240,126.322,14.3540294763
LARCHE,6,2.3780050505,10.7599065657,9.537,13.373,0.5328194877,10.776719697,9.554,13.388,19846200,144.411,28.6846631272
VERINT_DGEMM_1,6,2.2657828283,10.2529949495,9.969,10.548,0.110378566,10.3058156566,10.019,10.601,44766480,150.705,5.4891922639
CUBASEN,6,1.8101767677,8.1912247475,5.582,12.146,1.3358443923,8.1978661616,5.586,12.156,3969240,225.201,54.042483122
VDFMAIN,6,1.7831818182,8.0690479798,7.274,8.853,0.2756640135,38.7266691919,32.303,42.535,7938480,168.142,17.8357618886
>MPL-TRLTOM_COMMS ( 806),1,1.5395454545,6.9645757576,4.895,14.497,2.0208665397,6.9646818182,4.895,14.497,6798,240.88,66.2343933228
>MPL-TRMTOL_COMMS ( 807),1,1.5124242424,6.8427272727,5.364,7.373,0.5949761352,6.8428030303,5.364,7.374,6600,226.755,27.2480672725
>MPL-TRLTOG_COMMS( 805),1,1.866969697,8.4479545455,5.681,13.231,1.698379965,8.4480606061,5.681,13.231,13200,223.275,57.0629582042
VERDISINT,6,1.4133585859,6.3961262626,6.022,6.77,0.1206681786,17.584219697,16.983,18.637,44779746,210.202,11.0487444609
LASCAW,6,1.451489899,6.5687247475,6.17,6.977,0.1411060378,8.4874116162,7.903,8.953,19846200,210.202,11.5665758922
LATTEX,6,1.4086363636,6.3735984848,6.007,6.928,0.1745264345,7.7147954545,7.26,8.429,3969240,210.202,13.2938799076
CPPHDDHE,6,1.3243181818,5.9936237374,5.228,7.616,0.3979750483,6.0014141414,5.234,7.626,3969240,228.996,31.3550420168
STATE_UPDATE,6,1.3625,6.1651919192,5.789,7.098,0.2205280625,6.1817651515,5.804,7.116,16899960,218.425,18.4418145957
VDFOUTER,6,1.2723737374,5.757709596,5.182,7.05,0.3297208701,44.4913611111,37.66,48.279,3969240,229.2,26.4964539007
